frame,v0_x,v0_y,v0_z,v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v3_x,v3_y,v3_z,v4_x,v4_y,v4_z,v5_x,v5_y,v5_z,v6_x,v6_y,v6_z,v7_x,v7_y,v7_z,m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
0.000000,2.049671,-1.013826,-0.935231,4.152303,-1.023415,-1.023414,4.157921,1.076743,-1.046947,2.054256,0.953658,-1.046573,2.024196,-1.191328,0.827508,3.943771,-1.101283,1.031425,3.909198,0.858770,1.146565,1.977422,1.006753,0.857525,2.945562,-1.488908,-0.115099,4.337570,-1.060064,-0.729169,2.139829,-0.614772,1.398650
1.000000,1.846681,-0.818253,-0.985101,3.969707,-1.071799,-1.113763,3.945927,1.197561,-0.927668,1.918308,1.068929,-0.974730,1.998814,-0.981313,1.238888,4.101528,-1.086878,1.047657,4.006079,1.021279,1.112556,2.151319,1.157424,1.085394,2.984533,-1.372301,0.164636,4.218110,-0.895908,-0.809838,2.172226,-0.658523,1.659860
2.000000,1.897301,-0.702067,-0.687512,3.825476,-0.714932,-0.804842,3.843431,1.403578,-1.147087,1.943718,1.204470,-0.680043,2.150323,-1.069128,1.239145,4.162344,-0.671233,0.974315,4.002809,1.128987,1.191216,2.131048,1.074839,1.385972,3.036019,-1.213403,0.062644,4.190541,-0.792773,-0.842524,2.412339,-0.652902,1.642437
3.000000,1.832867,-0.847385,-0.624591,3.789451,-0.706161,-0.949321,3.803023,1.558610,-0.803700,1.820977,1.282632,-0.662369,2.208103,-0.799319,1.629626,4.158914,-0.695272,1.029165,4.000178,1.384780,1.219864,2.228753,1.099644,1.635616,2.892329,-1.155933,0.416092,4.072942,-0.685500,-0.680953,2.421921,-0.772723,1.759461
4.000000,1.701861,-0.563533,-0.532068,3.905256,-0.578957,-0.936891,3.754716,1.369053,-0.730449,1.861908,1.221131,-0.270173,2.305312,-0.661958,1.375570,4.089449,-0.577685,1.064404,4.169646,1.397537,1.118193,2.225651,1.281938,1.579319,3.220595,-1.071196,0.140287,4.177928,-0.600948,-0.604752,2.675957,-0.637755,1.952174
5.000000,1.801237,-0.435446,-0.107356,3.645329,-0.450759,-0.962187,3.497995,1.605643,-0.647376,1.697336,1.553805,-0.103991,2.491907,-0.701212,1.880559,4.319030,-0.618195,0.925253,4.214419,1.433913,1.295487,2.303586,1.306709,1.715607,2.879299,-1.066902,0.405357,4.065753,-0.502183,-0.656511,2.684366,-0.581451,1.966585
6.000000,1.717899,-0.540516,-0.118043,3.638896,-0.142106,-0.733589,3.343816,1.639648,-0.554826,1.662223,1.609128,0.464091,2.469230,-0.495586,1.806103,4.348019,-0.464862,1.101453,4.104363,1.526825,1.209659,2.319094,1.606165,1.756616,3.091413,-1.087009,0.330514,4.077332,-0.245051,-0.769837,2.657573,-0.361803,1.965321
7.000000,1.686237,-0.332122,-0.076208,3.703800,-0.062537,-1.004534,3.398369,1.785994,-0.442763,1.475657,1.629949,0.313464,2.562352,-0.663343,1.771894,4.253097,-0.397896,1.190918,4.231408,1.519450,1.380172,2.578311,1.538035,1.927421,2.961588,-0.702456,0.362392,3.929187,-0.047848,-0.740900,2.803575,-0.689882,2.014488
8.000000,1.592371,-0.373890,0.293963,3.246930,-0.046160,-0.749460,3.418471,1.825797,-0.330515,1.503051,1.624277,0.492635,2.557061,-0.537266,1.899073,4.270940,-0.218936,1.065049,4.352473,1.617470,1.527842,2.226346,1.479117,2.266627,3.020549,-0.794855,0.465041,3.744421,-0.058269,-0.547357,2.922433,-0.370312,2.276571
9.000000,1.602039,-0.082306,0.333891,3.201863,0.064672,-0.645938,3.226832,2.082782,-0.351392,1.580108,1.741432,0.683181,2.575748,-0.432694,2.080482,4.391962,-0.045291,1.109557,4.192553,1.905735,1.305526,2.509417,1.540242,2.337848,3.029622,-0.717985,0.744821,3.594877,0.004814,-0.498644,3.039514,-0.173134,2.309969
