frame,noisy_v0_x,noisy_v0_y,noisy_v0_z,noisy_v1_x,noisy_v1_y,noisy_v1_z,noisy_v2_x,noisy_v2_y,noisy_v2_z,noisy_v3_x,noisy_v3_y,noisy_v3_z,noisy_v4_x,noisy_v4_y,noisy_v4_z,noisy_v5_x,noisy_v5_y,noisy_v5_z,noisy_v6_x,noisy_v6_y,noisy_v6_z,noisy_v7_x,noisy_v7_y,noisy_v7_z,noisy_m0_x,noisy_m0_y,noisy_m0_z,noisy_m1_x,noisy_m1_y,noisy_m1_z,noisy_m2_x,noisy_m2_y,noisy_m2_z,optimized_v0_x,optimized_v0_y,optimized_v0_z,optimized_v1_x,optimized_v1_y,optimized_v1_z,optimized_v2_x,optimized_v2_y,optimized_v2_z,optimized_v3_x,optimized_v3_y,optimized_v3_z,optimized_v4_x,optimized_v4_y,optimized_v4_z,optimized_v5_x,optimized_v5_y,optimized_v5_z,optimized_v6_x,optimized_v6_y,optimized_v6_z,optimized_v7_x,optimized_v7_y,optimized_v7_z,optimized_m0_x,optimized_m0_y,optimized_m0_z,optimized_m1_x,optimized_m1_y,optimized_m1_z,optimized_m2_x,optimized_m2_y,optimized_m2_z,noisy_center_x,optimized_center_x,noisy_center_y,optimized_center_y,noisy_center_z,optimized_center_z
0,2.049671,-1.013826,-0.935231,4.152303,-1.023415,-1.023414,4.157921,1.076743,-1.046947,2.054256,0.953658,-1.046573,2.024196,-1.191328,0.827508,3.943771,-1.101283,1.031425,3.909198,0.85877,1.146565,1.977422,1.006753,0.857525,2.945562,-1.488908,-0.115099,4.33757,-1.060064,-0.729169,2.139829,-0.614772,1.39865,2.048920817753528,-0.9959650740728396,-1.0879628341387502,4.0728783728427,-1.0231651804951396,-1.0083115532543945,4.0688574352806,0.9924554163000641,-0.9656454201231721,2.0658985509009353,0.991775417916906,-1.068316316858935,1.9559757603623111,-1.027961438455845,0.8980326371549826,3.9600750070851753,-1.0250301841077165,0.9999849716344451,3.9696755226768268,0.965451907615104,1.0282273376542959,1.9746100119411192,0.9865138041991459,0.9172316390385206,3.0180518829405676,-1.5245209098826302,-0.04559214926425145,4.333546964469058,-1.0164463172267852,-0.6796298137449464,2.1490682625474635,-0.8167237191323711,1.3374587189847538,3.0628817272727273,3.0561416898909353,-0.3270610909090909,-0.31760147975837333,0.033203636363636324,0.02958883791659537
1,1.846681,-0.818253,-0.985101,3.969707,-1.071799,-1.113763,3.945927,1.197561,-0.927668,1.918308,1.068929,-0.97473,1.998814,-0.981313,1.238888,4.101528,-1.086878,1.047657,4.006079,1.021279,1.112556,2.151319,1.157424,1.085394,2.984533,-1.372301,0.164636,4.21811,-0.895908,-0.809838,2.172226,-0.658523,1.65986,1.909738058610672,-0.8649083004804694,-0.8796922815350543,3.930667924016002,-0.9205010940354852,-1.007129629106289,3.960200287365923,1.0945613688135756,-0.9504368834332187,1.9574078806706345,1.122181115007577,-0.8482322198721327,2.0192220675080725,-0.9121246545349488,1.1051564358063861,4.023108143527809,-0.9375030912126008,1.00213609432451,4.064355659246367,1.0523572567965878,1.042918400231355,2.0688810872507757,1.1016770969670997,1.1361859005228196,2.9722992577093357,-1.41533538998613,0.05471483266797006,4.223546029526275,-0.9200854347166638,-0.7067179345751194,2.25913051267879,-0.7072103537807874,1.5240304468640942,3.0284756363636363,3.035323355282787,-0.22179836363636365,-0.20971740737838596,0.13617190909090915,0.13390301471775642
2,1.897301,-0.702067,-0.687512,3.825476,-0.714932,-0.804842,3.843431,1.403578,-1.147087,1.943718,1.20447,-0.680043,2.150323,-1.069128,1.239145,4.162344,-0.671233,0.974315,4.002809,1.128987,1.191216,2.131048,1.074839,1.385972,3.036019,-1.213403,0.062644,4.190541,-0.792773,-0.842524,2.412339,-0.652902,1.642437,1.8820153067021697,-0.7522977591048834,-0.7237051770437128,3.8880788250951466,-0.713996604569435,-1.002507147754981,3.838786176303655,1.2969351930329598,-0.8672795719909276,1.8500357089131771,1.2324395083834725,-0.6160865126411306,2.143221923729401,-0.8679700731980469,1.2440934869460574,4.1329079509771,-0.8011584292830966,0.9920967038601094,4.0951211567588786,1.1857175038974521,1.1095911417621354,2.1120912060291284,1.1435388991166655,1.352208578344009,3.0340017215293096,-1.28950677226712,0.10663012510587884,4.202581725643548,-0.7117735610870873,-0.7248240058551496,2.405491868166981,-0.668300615963846,1.651951248855622,3.0541226363636365,3.0531212336225906,-0.09132400000000002,-0.08603388282208775,0.2121564545454546,0.2292880790534464
3,1.832867,-0.847385,-0.624591,3.789451,-0.706161,-0.949321,3.803023,1.55861,-0.8037,1.820977,1.282632,-0.662369,2.208103,-0.799319,1.629626,4.158914,-0.695272,1.029165,4.000178,1.38478,1.219864,2.228753,1.099644,1.635616,2.892329,-1.155933,0.416092,4.072942,-0.6855,-0.680953,2.421921,-0.772723,1.759461,1.820316438448644,-0.744067057766596,-0.5444429633863381,3.8058754316325154,-0.6674888545646398,-0.938371409324756,3.7199444401383084,1.3438000696569716,-0.8293040673538434,1.750670309548823,1.2409752628197095,-0.46355480127164417,2.19582511644622,-0.8235731523901164,1.4065856311485123,4.165936029300654,-0.718425799630428,1.0399472715453206,4.091009582870062,1.2687845144142826,1.1309964559836532,2.126462912888666,1.1882573464452275,1.487537894542959,3.0293772848692284,-1.2437118645134018,0.22604381424749848,4.135578133589858,-0.6542696631454972,-0.6792453300287957,2.4764535184055747,-0.6120630464594986,1.7958317550345808,3.0208598181818185,3.028859018012596,-0.030602454545454568,-0.03834384046672604,0.3608081818181818,0.3301840228306497
4,1.701861,-0.563533,-0.532068,3.905256,-0.578957,-0.936891,3.754716,1.369053,-0.730449,1.861908,1.221131,-0.270173,2.305312,-0.661958,1.37557,4.089449,-0.577685,1.064404,4.169646,1.397537,1.118193,2.225651,1.281938,1.579319,3.220595,-1.071196,0.140287,4.177928,-0.600948,-0.604752,2.675957,-0.637755,1.952174,1.8482212873250714,-0.6430424319430793,-0.46116366714204027,3.823129661644173,-0.5743885424144336,-0.9067104252217246,3.7504244164397322,1.4367208145921135,-0.7854006623797494,1.7909209705851998,1.3418836886860088,-0.3685814771401015,2.2743712616402267,-0.7344102554509976,1.4789107343294658,4.234699798826546,-0.6372502815752324,1.0611923755727286,4.172398758431046,1.3498182080795216,1.1640814245239706,2.217494084378588,1.27730160793976,1.5716830668146646,3.0744961576803185,-1.152669018185807,0.27480754336465624,4.15958045874239,-0.5641459980972614,-0.6562690247126843,2.5661977045522724,-0.5263021267688458,1.8617027194220042,3.098934454545454,3.0829031418405055,0.05251154545454548,0.05213778771470426,0.3777830909090909,0.3849320552210172
5,1.801237,-0.435446,-0.107356,3.645329,-0.450759,-0.962187,3.497995,1.605643,-0.647376,1.697336,1.553805,-0.103991,2.491907,-0.701212,1.880559,4.31903,-0.618195,0.925253,4.214419,1.433913,1.295487,2.303586,1.306709,1.715607,2.879299,-1.066902,0.405357,4.065753,-0.502183,-0.656511,2.684366,-0.581451,1.966585,1.735442213264774,-0.5289939039723606,-0.23876914980089198,3.64944009658276,-0.42916209323844645,-0.8946152211913523,3.5892881396836054,1.5739511115621023,-0.6744285097049907,1.6874631519504224,1.449350661364594,-0.04999075316394491,2.372110449351354,-0.7057353334769018,1.636665889671682,4.27465540516431,-0.5787691091309125,1.0113508247172092,4.222836378171808,1.4012208013289598,1.211009286911865,2.324556765647115,1.2993608344159882,1.8268088488958256,3.035424388289649,-1.0645435612692278,0.33425427637965094,4.011351113289368,-0.4283853499912355,-0.6823777213772031,2.704081671339451,-0.5135429204312275,1.9942390346319565,3.054568818181818,3.0551499793395105,0.14035654545454548,0.1340682851964847,0.5192206363636365,0.4976497096336187
6,1.717899,-0.540516,-0.118043,3.638896,-0.142106,-0.733589,3.343816,1.639648,-0.554826,1.662223,1.609128,0.464091,2.46923,-0.495586,1.806103,4.348019,-0.464862,1.101453,4.104363,1.526825,1.209659,2.319094,1.606165,1.756616,3.091413,-1.087009,0.330514,4.077332,-0.245051,-0.769837,2.657573,-0.361803,1.965321,1.7228094315638072,-0.4947738041510296,-0.12018763230407387,3.6055625861716947,-0.29683881167482,-0.8409862551564885,3.4485617444526624,1.7009128361573853,-0.6198481843420607,1.5781804435774816,1.478806059471465,0.06915721261533533,2.431294793520739,-0.6338584506275955,1.732525112843875,4.302241430539093,-0.40935359281444034,1.0426172119462085,4.15406446205223,1.565693930472151,1.242965971305539,2.285741735242242,1.3664618632728123,1.9232062322507582,3.067701348114135,-0.9605659806088691,0.40842027428940586,3.9739547811869547,-0.2767264549953525,-0.6412173200547543,2.764770097932205,-0.4238219045823745,2.0784734334503563,3.0390779999999995,3.0304438958502953,0.27680299999999997,0.23781233544721203,0.5870420000000001,0.5704660051676455
7,1.686237,-0.332122,-0.076208,3.7038,-0.062537,-1.004534,3.398369,1.785994,-0.442763,1.475657,1.629949,0.313464,2.562352,-0.663343,1.771894,4.253097,-0.397896,1.190918,4.231408,1.51945,1.380172,2.578311,1.538035,1.927421,2.961588,-0.702456,0.362392,3.929187,-0.047848,-0.7409,2.803575,-0.689882,2.014488,1.683691873322257,-0.3404943455841416,-0.06763704104063528,3.5359213064348967,-0.10938956245473519,-0.8546091266093592,3.4353762577727602,1.8604184442237117,-0.43710455526274883,1.5935024743164603,1.6080845373048764,0.31536779186052777,2.472002112810256,-0.6703378965564776,1.7278046208427962,4.314455095386664,-0.41554121808978817,0.9746364317172458,4.221254951792568,1.5335063090278909,1.3688904473946775,2.3815692106109463,1.3047415493005547,2.1147276274319635,3.040017901362516,-0.8800277632705898,0.34998280358483486,3.913354828413428,-0.11547391959906722,-0.6714920581638808,2.825583661549799,-0.5008176058448623,2.0760061850055185,3.0530528181818184,3.0378845157975047,0.3252130909090909,0.2976971389506701,0.6087585454545454,0.6269611933419036
8,1.592371,-0.37389,0.293963,3.24693,-0.04616,-0.74946,3.418471,1.825797,-0.330515,1.503051,1.624277,0.492635,2.557061,-0.537266,1.899073,4.27094,-0.218936,1.065049,4.352473,1.61747,1.527842,2.226346,1.479117,2.266627,3.020549,-0.794855,0.465041,3.744421,-0.058269,-0.547357,2.922433,-0.370312,2.276571,1.609963419515031,-0.31526794196198793,0.1991629428930849,3.391377630579857,-0.06467049962454274,-0.7321010839267308,3.2631591243782405,1.916334751171025,-0.3803324553253203,1.4901566486880546,1.6434811268500575,0.516550585455998,2.5380467653457917,-0.554164339345768,1.9414115983768634,4.3115017811495555,-0.27886185101543615,1.0437020081904733,4.1895095451980495,1.680707814263422,1.372507999458477,2.4174953823319676,1.431200414377622,2.261755942796158,3.0088938857879652,-0.8014027988453986,0.5335121454062969,3.781302477625147,-0.053474585982308864,-0.5776400569799078,2.9111308879000397,-0.3618361632635694,2.255767256891535,2.9868223636363633,2.992048868045427,0.37699754545454545,0.3856405387839196,0.7872244545454545,0.7667542621124479
9,1.602039,-0.082306,0.333891,3.201863,0.064672,-0.645938,3.226832,2.082782,-0.351392,1.580108,1.741432,0.683181,2.575748,-0.432694,2.080482,4.391962,-0.045291,1.109557,4.192553,1.905735,1.305526,2.509417,1.540242,2.337848,3.029622,-0.717985,0.744821,3.594877,0.004814,-0.498644,3.039514,-0.173134,2.309969,1.5694106842151374,-0.17753538648368627,0.3818576127933099,3.2792571990565786,0.06041958479900705,-0.6779964736095654,3.1719610000109624,2.0465697830041645,-0.3489708318728167,1.4681020632549173,1.7858296574831494,0.6763415003116757,2.619990430359846,-0.38789363124766607,2.056931392922633,4.324236202444275,-0.12471744198757662,1.030724151079202,4.22156060306724,1.83964539743068,1.3367390445280152,2.51808953857838,1.6021294839677216,2.3540013332358467,2.9897352776803663,-0.6567304982082317,0.6230484746890663,3.6791834345513683,0.07449640320631584,-0.5519576184198347,3.0141164799406672,-0.19020845459286617,2.3408091797079806,2.994957727272727,2.9868766284690675,0.535297,0.5338186270337283,0.8553910000000001,0.8383207059423192
